,Timestamp Line,YouTube Link
267160,**No transcript found 😶**,https://www.youtube.com/watch?v=Kr-9yaGaoQ0
268253,**No transcript found 😶**,https://www.youtube.com/watch?v=CKkyMRHmv_I
269014,**No transcript found 😶**,https://www.youtube.com/watch?v=-AcBTDjPeB8
269290,**No transcript found 😶**,https://www.youtube.com/watch?v=3obpWQt5Tcc
269293,**No transcript found 😶**,https://www.youtube.com/watch?v=q4HwGx9ckXQ
270369,**No transcript found 😶**,https://www.youtube.com/watch?v=Y-sh3Avpomk
270875,**No transcript found 😶**,https://www.youtube.com/watch?v=ENskjiDjM4Y
272216,**No transcript found 😶**,https://www.youtube.com/watch?v=KSH7zNlCG4A
272447,**No transcript found 😶**,https://www.youtube.com/watch?v=v4OttI6V_nI
273066,**No transcript found 😶**,https://www.youtube.com/watch?v=t6SFXiWu8Xw
274115,**No transcript found 😶**,https://www.youtube.com/watch?v=LW83-rtADRQ
274338,**No transcript found 😶**,https://www.youtube.com/watch?v=JChJBYm4znw
275210,**No transcript found 😶**,https://www.youtube.com/watch?v=mssyw8-MT00
275936,**No transcript found 😶**,https://www.youtube.com/watch?v=D9boFh8xfLU
276234,**No transcript found 😶**,https://www.youtube.com/watch?v=syIuTWp60vI
277608,**No transcript found 😶**,https://www.youtube.com/watch?v=lxqbEqQcPq8
277886,**No transcript found 😶**,https://www.youtube.com/watch?v=mljE7Ph7MS8
279240,**No transcript found 😶**,https://www.youtube.com/watch?v=5YGJOlfZVmk
279561,**No transcript found 😶**,https://www.youtube.com/watch?v=O4_JR4RMbH0
279905,**No transcript found 😶**,https://www.youtube.com/watch?v=8kHhSgVRL0I
280200,**No transcript found 😶**,https://www.youtube.com/watch?v=tF_JEQ8fWmo
280543,**No transcript found 😶**,https://www.youtube.com/watch?v=j4bXbPJdn_E&t=17s
282042,**No transcript found 😶**,https://www.youtube.com/watch?v=xNC2PkS5ulA
282551,**No transcript found 😶**,https://www.youtube.com/watch?v=dBYgwUJ0-tQ
282818,**No transcript found 😶**,https://www.youtube.com/watch?v=mljE7Ph7MS8
282821,**No transcript found 😶**,https://www.youtube.com/watch?v=QQMiSiYXEN0
283886,**No transcript found 😶**,https://www.youtube.com/watch?v=O4_JR4RMbH0
284182,**No transcript found 😶**,https://www.youtube.com/watch?v=8kHhSgVRL0I
284859,**No transcript found 😶**,https://www.youtube.com/watch?v=5YGJOlfZVmk
285191,**No transcript found 😶**,https://www.youtube.com/watch?v=tF_JEQ8fWmo
285540,**No transcript found 😶**,https://www.youtube.com/watch?v=j4bXbPJdn_E&t=17s
287342,**No transcript found 😶**,https://www.youtube.com/watch?v=xNC2PkS5ulA
287652,**No transcript found 😶**,https://www.youtube.com/watch?v=dBYgwUJ0-tQ
288088,**No transcript found 😶**,https://www.youtube.com/watch?v=QQMiSiYXEN0
289681,**No transcript found 😶**,https://www.youtube.com/watch?v=BdLEOVOYiEs
289684,**No transcript found 😶**,https://www.youtube.com/watch?v=ilMp2cU67ck
289687,**No transcript found 😶**,https://www.youtube.com/watch?v=JHvB5lWMa9o
291196,**No transcript found 😶**,https://www.youtube.com/watch?v=RjrMBgOWwdA
292718,**No transcript found 😶**,https://www.youtube.com/watch?v=KvyCUTLrHco
293169,**No transcript found 😶**,https://www.youtube.com/watch?v=BdLEOVOYiEs
293823,**No transcript found 😶**,https://www.youtube.com/watch?v=ilMp2cU67ck
293829,**No transcript found 😶**,https://www.youtube.com/watch?v=JHvB5lWMa9o
295399,**No transcript found 😶**,https://www.youtube.com/watch?v=RjrMBgOWwdA
297145,**No transcript found 😶**,https://www.youtube.com/watch?v=KvyCUTLrHco
297873,**No transcript found 😶**,https://www.youtube.com/watch?v=emL5pBCcfAI
297876,**No transcript found 😶**,https://www.youtube.com/watch?v=oWzDkXys7c0
300476,**No transcript found 😶**,https://www.youtube.com/watch?v=GmcarLeb0u0
